10	-11
0	-11
-18	-16
-16	4
8	19
-10	-15
-23	-5
-1	-15
7	-8
-19	-17
2	24
-5	15
2	22
-2	-18
14	14
1	-17
11	-8
3	25
-17	8
17	10
-13	-22
19	12
17	13
2	25
-7	-21
19	11
4	25
-20	-17
-15	-19
1	24
-11	14
19	13
-23	3
2	26
14	15
16	8
20	12
1	26
-7	16
1	-18
16	7
10	-12
1	23
-6	12
15	14
1	27
-18	8
0	27
-8	-21
20	13
8	20
-12	14
-13	14
1	28
-24	-5
21	13
-16	10
2	27
-12	15
-20	-18
13	15
-25	-5
-25	-4
2	-16
8	-12
-17	10
16	12
-18	10
0	24
0	25
-13	-23
12	-8
5	25
1	-19
-22	-7
-18	11
22	13
-22	-2
-1	27
13	14
-7	-22
-20	-7
22	14
15	7
-18	7
2	-17
-18	12
-6	-19
13	-8
-22	-8
8	21
-26	-5
5	26
-14	14
-2	27
-22	-9
-20	4
1	-20
-23	-7
-14	13
23	13
-22	-10
23	12
2	-20
3	-20
4	26
1	-21
3	27
-19	10
-3	27
3	-16
7	21
-20	-16
-16	11
19	14
24	12
-27	-5
-20	10
24	13
-27	-6
25	12
-21	-10
11	-12
16	6
-22	4
3	28
2	28
9	-12
-20	0
-6	-18
12	-12
6	25
3	29
-15	13
3	-21
22	15
-14	-21
4	29
-21	1
22	16
25	13
12	-13
-14	-23
-27	-7
-22	5
-4	27
8	17
13	-13
-27	-8
26	13
15	15
3	30
6	26
0	-21
-25	-3
-8	15
-22	6
-7	17
-20	11
0	-22
7	26
-13	-24
27	13
2	30
-25	-2
-21	-16
-23	5
-25	-1
25	14
7	27
24	14
7	25
-3	28
-24	5
0	15
12	-4
8	25
-22	7
27	12
27	14
-23	6
-3	29
-17	-16
8	16
13	-2
4	30
1	30
-8	-22
-21	11
14	-2
-22	11
14	-13
-1	-22
27	11
-18	13
-28	-8
23	16
-21	-18
-22	-16
4	-21
-12	-23
-14	15
-29	-8
-8	-23
5	30
0	-23
-5	27
-5	28
22	17
-21	-17
28	11
-26	-1
-13	-25
4	-22
-25	5
-22	-11
-23	-16
14	-12
-30	-8
28	10
-28	-7
-3	30
17	7
-5	29
28	12
8	26
-19	12
23	17
-8	17
-23	-17
-14	-25
9	26
-31	-8
29	12
22	18
4	-23
-14	-26
23	18
-3	31
23	19
24	18
8	22
-15	-20
0	-24
-14	-27
5	-22
27	15
13	-14
15	-2
10	26
16	-2
25	18
29	11
30	12
21	17
16	15
-5	30
-23	-18
28	9
1	-24
-8	-24
-23	11
1	-25
6	-22
-20	12
21	18
-15	-27
26	11
-21	-19
29	13
1	22
16	-1
27	10
-6	30
8	27
-3	32
-7	-24
-7	-25
27	16
27	17
31	12
29	9
-15	-26
-7	-26
7	-22
5	31
-29	-7
5	-23
2	31
6	-21
-24	-16
7	-21
-12	16
2	32
0	-25
-6	31
-24	11
-14	-28
28	17
-28	-5
17	8
29	14
-11	16
12	-7
3	32
6	30
13	-12
